title,store_label,image,price,price_min,price_max,price_drop,price_drop_percent,price_week_changed,price_week_drop,price_week_drop_percent,price_deal,price_hot_deal,price_top_deal,brand,availability,link,source_link,clicks,clicksExternal,uniqueID,date_creation,last_updated,priceTable,availabilityTable
PC Portable HP15-fd0024nk I5 13ème Gén .- 8Go - 512Go SSD - Silver & Bleu,Media Vision,https://barbechli.tn/images/product/318bf459b2c9d0293e7ffae9fa810cd9.jpg,1629.0,,,0,0,no,0,0,no,no,no,na,on_stock,https://www.mediavision.tn/pc-portable/4066-pc-portable-hp-15-fd0024nk-i5-13eme-gen-8go-512go-ssd-silver-bleu-tunisie.html,https://www.mediavision.tn/,16,0,318bf459b2c9d0293e7ffae9fa810cd9,2025-03-25T10:31:22.857249,2025-04-08T13:02:04.576147,"[{'date_price': '2025-03-25T10:31:22.857249', 'price': 1799.0}, {'date_price': '2024-03-27T01:05:08+00:00', 'price': 1799.0}, {'date_price': '2024-03-19T01:14:05+00:00', 'price': 1789.0}, {'date_price': '2023-10-24T01:14:55+00:00', 'price': 1915.0}, {'date_price': '2025-04-08T13:02:04.576147', 'price': 1629.0}, {'date_price': '2025-04-02T22:10:07+00:00', 'price': 1629.0}]","[{'date_availability': '2025-03-25T10:31:22.857249', 'availability': 'on_stock'}, {'date_availability': '2023-10-24T01:14:55+00:00', 'availability': 'on_stock'}]"
Pc Portable MSI GF63 Thin 12UCX-682XFR - I5 12ème Gén. - 16Go - 512Go SSD,Media Vision,https://barbechli.tn/images/product/35dad53c5eeb5d7d28fdadf4129a1f4e.jpg,2199.0,,,0,0,no,0,0,no,no,no,na,on_stock,https://www.mediavision.tn/pc-portable-gamer/4653-pc-portable-msi-gf63-thin-12ucx-682xfr-i5-12eme-gen-16go-512go-ssd-tunisie.html,https://www.mediavision.tn/,16,0,35dad53c5eeb5d7d28fdadf4129a1f4e,2025-04-08T13:02:02.237125,2025-04-08T13:02:02.237125,"[{'date_price': '2025-04-08T13:02:02.237125', 'price': 2199.0}, {'date_price': '2025-02-28T01:42:21+00:00', 'price': 2199.0}]","[{'date_availability': '2025-04-08T13:02:02.237125', 'availability': 'on_stock'}, {'date_availability': '2025-02-28T01:42:21+00:00', 'availability': 'on_stock'}]"
PC PORTABLE MSI CYBORG 15 A13VE / I5-13420H / RTX 4050 6G / 24 Go / 512 Go SSD / Windows 11,Tunisianet,https://barbechli.tn/images/product/10edfa2d57b97c3b635e55d51de5b6bf.jpg,3159.0,,,0,0,no,0,0,no,no,no,msi,on_stock,https://www.tunisianet.com.tn/pc-portable-tunisie/76831-pc-portable-msi-cyborg-15-a13ve-i5-13420h-rtx-4050-6g-24-go-512-go-ssd-windows-11.html,https://www.tunisianet.com.tn/,16,1,10edfa2d57b97c3b635e55d51de5b6bf,2025-03-25T09:57:19.791174,2025-04-08T13:01:59.830517,"[{'date_price': '2025-03-25T09:57:19.791174', 'price': 3159.0}, {'date_price': '2025-01-25T01:14:21+00:00', 'price': 3159.0}, {'date_price': '2025-01-06T13:16:01+00:00', 'price': 3229.0}, {'date_price': '2024-12-28T22:05:29+00:00', 'price': 3159.0}, {'date_price': '2024-11-01T13:14:19+00:00', 'price': 3089.0}, {'date_price': '2024-07-06T12:10:21+00:00', 'price': 3459.0}]","[{'date_availability': '2025-03-25T09:57:19.791174', 'availability': 'on_stock'}, {'date_availability': '2024-07-06T12:10:21+00:00', 'availability': 'on_stock'}]"
Pc Portable ASUS Vivobook Pro 15 M3500QC RYZEN 5-5600H - 8Go - 512Go SSD - Bleu,Media Vision,https://barbechli.tn/images/product/5877fa0754719a5d88eddfd29a4e05d1.jpg,1999.0,,,0,0,no,0,0,no,no,no,na,on_stock,https://www.mediavision.tn/pc-portable-professionnel-/2353-pc-portable-asus-vivobook-pro-15-m3500qc-ryzen-5-5600h-8go-512go-ssd-bleu-tunisie.html,https://www.mediavision.tn/,18,58,5877fa0754719a5d88eddfd29a4e05d1,2025-03-25T09:57:04.744133,2025-04-08T13:01:57.578326,"[{'date_price': '2025-03-25T09:57:04.744133', 'price': 1999.0}, {'date_price': '2024-02-06T01:24:24+00:00', 'price': 1999.0}]","[{'date_availability': '2025-03-25T09:57:04.744133', 'availability': 'on_stock'}, {'date_availability': '2024-02-06T01:24:24+00:00', 'availability': 'on_stock'}]"
PC Portable Gamer Lenovo LOQ 15IAX9E / i5-12450HX / RTX 2050 4G / 32 Go DDR5 / 512 Go SSD / Windows 11 / Gris,Tunisianet,https://barbechli.tn/images/product/b7c058d5daeecb40719fbdeab4cfb86c.jpg,2259.0,,,0,0,no,0,0,no,no,no,lenovo,on_stock,https://www.tunisianet.com.tn/pc-portable-tunisie/83117-pc-portable-gamer-lenovo-loq-15iax9e-i5-12450hx-rtx-2050-4g-32-go-ddr5-512-go-ssd-windows-11-gris.html,https://www.tunisianet.com.tn/,21,3,b7c058d5daeecb40719fbdeab4cfb86c,2025-03-25T11:17:22.077944,2025-04-08T13:01:55.068682,"[{'date_price': '2025-03-25T11:17:22.077944', 'price': 2259.0}, {'date_price': '2025-03-24T22:06:59+00:00', 'price': 2259.0}, {'date_price': '2025-03-06T22:08:25+00:00', 'price': 2359.0}, {'date_price': '2025-03-01T01:19:19+00:00', 'price': 2259.0}, {'date_price': '2025-04-02T22:07:29+00:00', 'price': 2259.0}, {'date_price': '2025-03-27T22:06:46+00:00', 'price': 2159.0}]","[{'date_availability': '2025-03-25T11:17:22.077944', 'availability': 'on_stock'}, {'date_availability': '2025-03-01T01:19:19+00:00', 'availability': 'on_stock'}]"
Pc portable Lenovo ThinkPad X1 Carbon Gen 11 / i7-1355U 13è Gén / 32 Go / Noir / Windows 11 Pro,Tunisianet,https://barbechli.tn/images/product/4585777314a7fd9d047b15ff2bb4ed26.jpg,7199.0,,,0,0,no,0,0,no,no,no,lenovo,on_stock,https://www.tunisianet.com.tn/pc-portable-tunisie/76005-pc-portable-lenovo-thinkpad-x1-carbon-gen-11-i7-1355u-13e-gen-32-go-noir.html,https://www.tunisianet.com.tn/,23,0,4585777314a7fd9d047b15ff2bb4ed26,2025-03-25T10:13:59.185792,2025-04-08T13:01:52.689164,"[{'date_price': '2025-03-25T10:13:59.185792', 'price': 7439.0}, {'date_price': '2025-01-07T13:09:16+00:00', 'price': 7439.0}, {'date_price': '2024-05-25T20:16:45+00:00', 'price': 7299.0}, {'date_price': '2025-04-08T13:01:52.689164', 'price': 7199.0}, {'date_price': '2025-04-02T22:07:49+00:00', 'price': 7199.0}]","[{'date_availability': '2025-03-25T10:13:59.185792', 'availability': 'on_stock'}, {'date_availability': '2024-09-28T13:14:48+00:00', 'availability': 'on_stock'}, {'date_availability': '2024-06-15T18:16:40+00:00', 'availability': 'on_command'}, {'date_availability': '2024-05-25T20:16:45+00:00', 'availability': 'on_stock'}]"
Pc portable HP Victus 15-fb0020nk / Ryzen 5 5600H / 24 Go / RTX 3050 4G,Tunisianet,https://barbechli.tn/images/product/d7e3945f808fd012a4c2df7f51f23aba.jpg,2599.0,,,0,0,no,0,0,no,no,no,hp,on_stock,https://www.tunisianet.com.tn/pc-portable-tunisie/60161-pc-portable-hp-victus-15-fb0020nk-ryzen-5-5600h-24-go-rtx-3050-4g.html,https://www.tunisianet.com.tn/,24,3,d7e3945f808fd012a4c2df7f51f23aba,2025-03-25T10:13:29.817192,2025-04-08T13:01:50.215724,"[{'date_price': '2025-03-25T10:13:29.817192', 'price': 2599.0}, {'date_price': '2025-03-24T22:07:56+00:00', 'price': 2599.0}, {'date_price': '2025-03-19T22:12:09+00:00', 'price': 2627.0}, {'date_price': '2025-02-15T01:10:56+00:00', 'price': 2639.0}, {'date_price': '2024-11-01T13:13:51+00:00', 'price': 2379.0}]","[{'date_availability': '2025-03-25T10:13:29.817192', 'availability': 'on_stock'}, {'date_availability': '2024-11-01T13:13:51+00:00', 'availability': 'on_stock'}]"
Pc Portable DELL Vostro 3520 / i3-1215U / 16 Go / 512 Go SSD / Noir,Tunisianet,https://barbechli.tn/images/product/6791f27b44a6f3fd08f5eb50f0ca4032.jpg,1085.0,,,0,0,no,0,0,no,no,no,dell,on_stock,https://www.tunisianet.com.tn/pc-portable-tunisie/74254-pc-portable-dell-vostro-3520-i3-1215u-16-go-512-go-ssd-noir.html,https://www.tunisianet.com.tn/,31,8,6791f27b44a6f3fd08f5eb50f0ca4032,2025-03-25T11:15:41.343100,2025-04-08T13:01:47.399841,"[{'date_price': '2025-03-25T11:15:41.343100', 'price': 1085.0}, {'date_price': '2025-01-06T13:14:26+00:00', 'price': 1085.0}, {'date_price': '2025-01-04T13:52:42+00:00', 'price': 1005.0}, {'date_price': '2024-12-28T22:04:00+00:00', 'price': 1025.0}, {'date_price': '2024-11-29T13:15:41+00:00', 'price': 1079.0}, {'date_price': '2024-09-14T11:45:18+00:00', 'price': 1039.0}, {'date_price': '2024-08-29T01:08:37+00:00', 'price': 1009.0}, {'date_price': '2024-08-12T13:14:12+00:00', 'price': 1049.0}, {'date_price': '2024-03-27T01:03:57+00:00', 'price': 1055.0}, {'date_price': '2024-03-17T01:04:39+00:00', 'price': 1059.0}]","[{'date_availability': '2025-03-25T11:15:41.343100', 'availability': 'on_stock'}, {'date_availability': '2024-03-17T01:04:39+00:00', 'availability': 'on_stock'}]"
ACER I5-12450H | UHD GRAPHIC | 16 GO | 512 GO,Skymil Informatique,https://skymil-informatique.com/49502-large_default/acer-i5-12450h-uhd-graphic-16-go-512-go.jpg,1699.0,,,0,0,no,0,0,no,no,no,na,on_stock,https://skymil-informatique.com/pc-portable-pro/acer-i5-12450h-uhd-graphic-16-go-512-go,https://skymil-informatique.com/,32,1,b02d412b1cf63578f714f10b1c52f294,2025-04-08T13:01:43.764446,2025-04-08T13:01:43.764446,"[{'date_price': '2025-04-08T13:01:43.764446', 'price': 1699.0}, {'date_price': '2025-04-04T22:07:47+00:00', 'price': 1699.0}, {'date_price': '2025-03-31T22:06:51+00:00', 'price': 1890.0}]","[{'date_availability': '2025-04-08T13:01:43.764446', 'availability': 'on_stock'}, {'date_availability': '2025-03-31T22:06:51+00:00', 'availability': 'on_stock'}]"
PC PORTABLE ASUS TUF GAMING F15 I7-12700H 32GO 1TO SSD RTX 3050,Cyber Info,https://www.cyberinfo.tn/11713-large_default/pc-portable-asus-tuf-gaming-f15-i7-12700h-32go-1to-ssd-rtx-3050.webp,2989.0,,,0,0,no,0,0,no,no,no,asus,out_of_stock,https://www.cyberinfo.tn/-pc-portable-gamer/1882-pc-portable-asus-tuf-gaming-f15-i7-12700h-32go-1to-ssd-rtx-3050.html,https://www.cyberinfo.tn/,48,35,14b03971c6f9269115e5aaac42317ca6,2025-03-25T09:56:58.810570,2025-04-08T13:01:38.313279,"[{'date_price': '2025-03-25T09:56:58.810570', 'price': 2989.0}, {'date_price': '2024-07-18T19:09:00+00:00', 'price': 2989.0}, {'date_price': '2024-06-29T21:44:38+00:00', 'price': 3029.0}]","[{'date_availability': '2025-03-25T09:56:58.810570', 'availability': 'out_of_stock'}, {'date_availability': '2024-08-22T01:11:48+00:00', 'availability': 'out_of_stock'}, {'date_availability': '2024-06-29T21:44:38+00:00', 'availability': 'on_stock'}]"
